Total entries,4659
Total unique entries,undefined
average distance,1
maximal distance,1
word with max dist,Aachener Strasse
total frag count,1
max fragment size allowed,100
max fragment size,6848
avg fragment nodes contained,6848
avg frag fill,68.48
number of hits,146653
number of misses,1
number of cache cleans,0
number of writes,1
number of reads,1
total unique added data objects,undefined
nodes used for data objects,4659
total node count,6848
nodes per unique data representation,NaN
average amount of children in a node,2.999123959702146
maximal amount of children in a node,29
